code,region,case,abb.,lon.x1,lon.x2,lat.y1,lat.y2,total catch,note
1,Australia,South Eastern Scalefish and Shark Fishery,SESSF,115.13,163.15,-24.48,-47.22,16000,
2,Australia,Northern Prawn Fishery,NPF,126.97,142.17,-8.95,-17.65,8581,
3,Australia,North West Slope Trawl Fishery,NWSTF,114,125,-21.65,-11.57,67.4,
4,EU Mediterranean and Black Sea,Western Mediterranean Demersal Fishery,WMDF,5.6,16,36,44,13792.6,
5,EU Mediterranean and Black Sea,Adraitic Sea Mixed Fishery,ASMF,12.25,20,39.75,45.4,135629,
6,EU North Atlantic,Demersal Mixed Fishery in the Atlantic Iberian Waters,AIWDMF,-2,-11,36,44.5,14358,
7,EU North Atlantic,Demersal Mixed Fishery in the Bay of Biscay,BBDMF,-1,-11,43,48,37737,
8,EU North Atlantic,Demersal Mixed Fishery in the Celtic Sea,CSDMF,-2,-16,48,54.5,56804,
9,EU North Atlantic,Demersal Mixed Fishery in the Greater North Sea,GNSDMF,-5,12.83,49,62,238589,
10,EU North Atlantic,Mixed Fishery in the Baltic Sea,BSMF,10,30,54,65.5,600000,
11,US,Gulf of Alaska Groundfish Fisheries,GOAGF,-132.66,-170,48.5,62,185927,
12,US,Northeast Groundfish Fishey,NEGF,-65.75,-76,35,45,36848,
13,US,Pacific Coast Groundfish Fishery,PCGF,-117,-129,32.5,48.5,129827,
14,US,Gulf of Mexico Shrimp Fishery,GOMSF,-81,-97,24,30,65231.1,
15,US,South Atlantic Snapper-Grouper Fishery,SASGF,-71,-83,24,36.5,2175.02,
16,US,West Coast Coastal Pelagic Species Fishery,WCCPF,-117,-129,32.5,48.5,91199.4,
17,miscellaneous,"Mixed fishery of Shandong Province, China",CNSDMF,119.5,124,35,38,2000000,estimated.catch
18,miscellaneous,Deepwater snapper and grouper fishery in Indonesia,IDDSGF,106,116,-3,-8,100000,
19,miscellaneous,South African Small Pelagic Fishery,SASPF,15,32,-30.5,-34.5,223779,
20,miscellaneous,Canada Pacific Region Groundfish Fishery,CPGF,-123,-137,46,54,141262,
21,miscellaneous,Northern Chile Small Pelagic Fishery,NCSPF,70,74,-18,-24,599844,
22,miscellaneous,Northern Brazil-Guianas Shelf Shrimp and Groundfish Fishery,NBGFSGF,-40,-61,-3,13,180000,estimated.catch
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
