code,region,case,D,H,S,J
1,Australia,South and Eastern Scalefish and Shark Fishery,3.202758655,2.146780023,32,0.619429779
2,Australia,Northern Prawn Fishery,0.442112623,0.877324985,5,0.545112662
3,Australia,North West Slope Trawl Fishery,0.237493305,0.66884091,2,0.964933464
4,EU Mediterranean and Black Sea,Adriatic Sea mixed fishery,0.761570896,1.430652194,10,0.621324353
5,EU Mediterranean and Black Sea,Western Mediterranean demersal mixed fishery,0.524555079,1.515642729,6,0.845896313
6,EU North Atlantic,Atlantic Iberian Waters demersal mixed fishery,0.417882768,0.699999726,5,0.434934284
8,EU North Atlantic,Bay of Biscay demersal mixed fishery,1.233581174,1.817799501,14,0.688806371
9,EU North Atlantic,Celtic Sea demersal mixed fishery,0.548135453,1.620171467,7,0.832603431
10,EU North Atlantic,North Sea demersal mixed fishery,1.114508201,2.133850218,15,0.787965532
11,US,Bering Sea and Aleutian Island groundfish fishery,1.381570434,1.129520187,21,0.371000776
12,US,Gulf of Alaska groundfish fishery,1.548043315,1.650841108,20,0.5510643
13,US,Gulf of Mexico reef fish fishery,1.737708396,1.455854267,16,0.525088433
14,US,Gulf of Mexico shrimp fishery,0.27061911,0.900746608,4,0.649751332
15,US,Northeast groundfish fishery,0.85310819,1.46579844,10,0.636588174
16,US,Pacific Coast groundfish fishery,1.019198465,0.952856351,13,0.371491292
17,US,South Atlantic snapper-grouper fishery,2.992905858,2.44003107,24,0.767775249
18,US,West Coast coastal pelagic species fishery,0.350238052,0.879095208,5,0.546212563
19,miscellaneous,Canada Pacific Region groundfish fishery,2.445509267,1.356657331,30,0.398876389
20,miscellaneous,China-Shandong mixed fishery,1.032706532,1.813620373,15,0.669714458
21,miscellaneous,Indonesia deepwater snapper-grouper fishery,0.737337902,1.817549057,10,0.789351526
22,miscellaneous,Northern Brazil-Guianas Shelf shrimp and groundfish fishery,0.246816492,1.053174028,4,0.759704474
23,miscellaneous,Northern Chile small pelagic fishery,0.300651853,0.468413084,5,0.291041413
24,miscellaneous,South African small pelagic fishery,0.24353784,0.720877055,4,0.520002876
