"","code","case","freq"
"1",1,"South and Eastern Scalefish and Shark Fishery",22
"2",2,"Northern Prawn Fishery",19
"3",3,"North West Slope Trawl Fishery",1
"4",4,"Adriatic Sea mixed fishery",19
"5",5,"Western Mediterranean demersal mixed fishery",27
"6",6,"Atlantic Iberian Waters demersal mixed fishery",11
"7",7,"Baltic Sea mixed fishery",0
"8",8,"Bay of Biscay demersal mixed fishery",36
"9",9,"Celtic Sea demersal mixed fishery",21
"10",10,"North Sea demersal mixed fishery",93
"11",11,"Bering Sea and Aleutian Island groundfish fishery",40
"12",12,"Gulf of Alaska groundfish fishery",20
"13",13,"Gulf of Mexico reef fish fishery",27
"14",14,"Gulf of Mexico shrimp fishery",11
"15",15,"Northeast groundfish fishery",23
"16",16,"Pacific Coast groundfish fishery",32
"17",17,"South Atlantic snapper-grouper fishery",0
"18",18,"West Coast coastal pelagic species fishery",0
"19",19,"Canada Pacific Region groundfish fishery",9
"20",20,"China-Shandong mixed fishery",3
"21",21,"Indonesia deepwater snapper-grouper fishery",8
"22",22,"Northern Brazil-Guianas Shelf shrimp and groundfish fishery",2
"23",23,"Northern Chile small pelagic fishery",6
"24",24,"South African small pelagic fishery",4
